Model,Feature_Set,Accuracy,F1_Score,ROC_AUC,PR_AUC,Train_Time_s,Inference_Time_s
Linear SVM,Raw+ClusterID,0.6408,0.6846356453028973,0.6859733274744645,0.6851301580157119,3.7338650670000106,0.05473613000003752
k-NN,Raw+ClusterID,0.63265,0.6674361759913091,0.6700520469956024,0.6524396885203537,0.00558834800006025,6.128537324000035
Decision Tree,Raw+ClusterID,0.630875,0.6513165663006258,0.6295756188790763,0.6078396003102794,5.472102015000019,0.011960805000057917
Random Forest,Raw+ClusterID,0.723525,0.7394510543055719,0.800129942237096,0.811580947375082,5.290547361999984,0.19416726500003278
Gradient Boosting,Raw+ClusterID,0.7118,0.7301245434965821,0.7876341111320326,0.8041670191943421,85.11746067299998,0.09507600599999932
