Model,Accuracy,F1_Score,ROC_AUC,PR_AUC,Train_Time_s,Inference_Time_s
Linear SVM,0.639975,0.6834040495086509,0.6822753579324313,0.6801878810665759,3.977002200030256,0.03550529998028651
RBF-kernel SVM,0.7063,0.7375804145818442,0.7746389456393656,0.7777593093512205,10628.194227700005,504.03589219995774
k-Nearest Neighbors,0.63225,0.6668176670441676,0.6701779888492132,0.6527838317678033,0.01604439999209717,9.639848799968604
Decision Tree,0.632225,0.652624619235401,0.6309242873501791,0.6088203757962194,7.028444800002035,0.01776160002918914
Random Forest,0.7256,0.7412541254125412,0.8015643882100045,0.8134966909756605,7.808295499999076,0.2577527000103146
Gradient Boosting,0.7118,0.7301245434965821,0.7876341111320326,0.8041670191943421,113.44061490002787,0.07477289997041225

